City,StorePairsWithin10KM,ClusteredPairsPercent,CityLatitude,CityLongitude
London,201,4.69,50.93729656093897,-5.584707304557089
Stockholm,196,4.57,59.33233598282232,18.04887628037068
Berlin,141,3.29,52.504749770403144,13.380939804252973
Moscow,132,3.08,55.731548973724216,37.564852089787074
Shanghai,116,2.70,31.184758112300113,121.43731442903751
Wien,110,2.56,48.19952415362269,16.365524699172212
Budapest,101,2.35,47.48666120365465,19.075451060819923
Prague,101,2.35,50.07544335294118,14.43631588235294
"Kuala Lumpur",90,2.10,3.0970527973314814,101.67131021733803
Jakarta,79,1.84,-6.33067288,107.26410206000003
Athens,79,1.84,37.98492027341948,23.75484340611729
Oslo,78,1.82,59.92188272819771,10.764374653559985
Guangzhou,70,1.63,23.130255654385394,113.34819250494368
Bucharest,64,1.49,44.43679384615385,26.099895384615387
Warsaw,61,1.42,52.23037088868372,21.00254558519649
