CountryCode,StoreClass,StoreCount,ClassSharePercent
AE,Red,20,60.61
AE,Blue,10,30.30
AE,Flagship,3,9.09
AT,Blue,41,53.25
AT,Red,33,42.86
AT,Flagship,3,3.90
AU,Red,29,80.56
AU,Flagship,5,13.89
AU,Blue,2,5.56
BA,Red,1,50.00
BA,Blue,1,50.00
BE,Blue,32,49.23
BE,Red,30,46.15
BE,Flagship,3,4.62
BG,Red,11,57.89
BG,Blue,7,36.84
BG,Flagship,1,5.26
BH,Red,2,50.00
BH,Blue,1,25.00
BH,Flagship,1,25.00
BY,Red,2,66.67
BY,Blue,1,33.33
CA,Red,58,63.74
CA,Blue,29,31.87
CA,Flagship,4,4.40
CH,Red,47,55.29
CH,Blue,34,40.00
CH,Flagship,4,4.71
CL,Red,16,84.21
CL,Flagship,3,15.79
CN,Red,235,57.60
CN,Blue,163,39.95
CN,F,6,1.47
CN,Flagship,2,0.49
CN,,2,0.49
CO,Red,11,91.67
CO,Flagship,1,8.33
CY,Red,1,100.00
CZ,Blue,32,65.31
CZ,Red,16,32.65
CZ,Flagship,1,2.04
DE,Red,220,57.44
DE,Blue,155,40.47
DE,Flagship,6,1.57
DE,F,2,0.52
DK,Red,39,53.42
DK,Blue,33,45.21
DK,Flagship,1,1.37
EE,Blue,7,53.85
EE,Red,5,38.46
EE,Flagship,1,7.69
EG,Red,9,64.29
EG,Blue,4,28.57
EG,Flagship,1,7.14
ES,Red,123,89.78
ES,Blue,11,8.03
ES,Flagship,3,2.19
FI,Blue,26,56.52
FI,Red,20,43.48
FR,Red,92,49.46
FR,Blue,85,45.70
FR,Flagship,9,4.84
GB,Blue,129,60.00
GB,Red,72,33.49
GB,Flagship,12,5.58
GB,F,2,0.93
GE,Red,2,66.67
GE,Blue,1,33.33
GR,Red,23,65.71
GR,Blue,9,25.71
GR,Flagship,3,8.57
HK,Red,8,66.67
HK,Blue,2,16.67
HK,Flagship,1,8.33
HK,F,1,8.33
HR,Blue,9,56.25
HR,Red,7,43.75
HU,Blue,24,53.33
HU,Red,20,44.44
HU,Flagship,1,2.22
ID,Red,51,91.07
ID,Blue,4,7.14
ID,Flagship,1,1.79
IE,Blue,10,58.82
IE,Red,6,35.29
IE,Flagship,1,5.88
IL,Red,14,66.67
IL,Blue,6,28.57
IL,Flagship,1,4.76
IN,Red,26,50.98
IN,Blue,21,41.18
IN,F,3,5.88
IN,Flagship,1,1.96
IS,Red,2,50.00
IS,Flagship,1,25.00
IS,Blue,1,25.00
IT,Red,79,50.64
IT,Blue,71,45.51
IT,Flagship,6,3.85
JO,Red,3,75.00
JO,Blue,1,25.00
JP,Red,65,56.03
JP,Blue,47,40.52
JP,Flagship,2,1.72
JP,F,2,1.72
KR,Red,24,68.57
KR,Blue,9,25.71
KR,F,1,2.86
KR,Flagship,1,2.86
KW,Red,5,38.46
KW,Blue,4,30.77
KW,Flagship,4,30.77
KZ,Blue,3,50.00
KZ,F,2,33.33
KZ,Red,1,16.67
LB,Red,1,50.00
LB,Blue,1,50.00
LT,Red,6,66.67
LT,Blue,2,22.22
LT,Flagship,1,11.11
LU,Red,4,50.00
LU,Blue,4,50.00
LV,Red,5,71.43
LV,Blue,1,14.29
LV,Flagship,1,14.29
MA,Red,3,75.00
MA,Flagship,1,25.00
MO,Red,1,100.00
MX,Red,37,63.79
MX,Blue,18,31.03
MX,Flagship,3,5.17
MY,Blue,20,48.78
MY,Red,19,46.34
MY,F,1,2.44
MY,Flagship,1,2.44
NL,Red,53,56.99
NL,Blue,36,38.71
NL,Flagship,4,4.30
NO,Blue,53,55.21
NO,Red,39,40.63
NO,Flagship,4,4.17
NZ,Red,7,77.78
NZ,Flagship,1,11.11
NZ,Blue,1,11.11
OM,Red,3,100.00
PA,Flagship,1,100.00
PE,Red,17,89.47
PE,Flagship,1,5.26
PE,Blue,1,5.26
PH,Blue,25,62.50
PH,Red,13,32.50
PH,F,1,2.50
PH,Flagship,1,2.50
PL,Blue,109,61.24
PL,Red,65,36.52
PL,Flagship,4,2.25
PT,Red,26,92.86
PT,Flagship,1,3.57
PT,Blue,1,3.57
QA,Red,5,71.43
QA,Flagship,2,28.57
RO,Red,37,68.52
RO,Blue,14,25.93
RO,Flagship,3,5.56
RS,Blue,9,60.00
RS,Red,6,40.00
RU,Blue,71,48.63
RU,Red,65,44.52
RU,F,10,6.85
SA,Red,25,49.02
SA,Blue,23,45.10
SA,Flagship,2,3.92
SA,,1,1.96
SE,Red,73,57.03
SE,Blue,42,32.81
SE,Flagship,12,9.38
SE,F,1,0.78
SG,Red,6,66.67
SG,Blue,2,22.22
SG,Flagship,1,11.11
SI,Blue,7,58.33
SI,Red,5,41.67
SK,Blue,16,57.14
SK,Red,12,42.86
TH,Red,27,79.41
TH,Flagship,4,11.76
TH,Blue,3,8.82
TN,Red,2,100.00
TR,Red,35,68.63
TR,Blue,14,27.45
TR,Flagship,2,3.92
TW,Red,9,64.29
TW,Blue,3,21.43
TW,F,2,14.29
UA,Red,6,66.67
UA,Blue,3,33.33
US,Red,294,55.47
US,Blue,211,39.81
US,Flagship,25,4.72
UY,F,1,33.33
UY,Flagship,1,33.33
UY,Red,1,33.33
VN,Blue,10,83.33
VN,F,1,8.33
VN,Red,1,8.33
ZA,Red,18,66.67
ZA,Flagship,5,18.52
ZA,Blue,4,14.81
